Subject,Call Type,Calling Number,Called Number,Call Date,Call Time,Duration,First Cell ID,Last Cell ID,IMEI,IMSI,Roaming Center
919810000001,Outgoing,919810000001,919800011122,2026-06-21,13:23:06,604,404-45-1201-30501,404-45-1201-30501,352421503001119,404450100030011,"Connaught Place, New Delhi"
919810000001,SMS-MT,919820000002,919810000001,2026-06-09,22:16:12,0,404-45-1201-30501,404-45-1201-30501,352421503001119,404450100030011,"Connaught Place, New Delhi"
919810000001,SMS-MT,919711100012,919810000001,2026-06-20,07:04:55,0,404-45-1201-30501,404-45-1201-30501,352421503001119,404450100030011,"Connaught Place, New Delhi"
919810000001,Incoming,919830000003,919810000001,2026-06-25,13:51:15,647,404-45-1201-30502,404-45-1201-30502,352421503001119,404450100030011,"Karol Bagh, New Delhi"
919810000001,Incoming,919800011122,919810000001,2026-06-02,14:02:35,426,404-45-1201-30501,404-45-1201-30501,352421503001119,404450100030011,"Connaught Place, New Delhi"
919810000001,Incoming,919800011122,919810000001,2026-06-07,22:43:34,653,404-45-1201-30501,404-45-1201-30501,352421503001119,404450100030011,"Connaught Place, New Delhi"
919810000001,Outgoing,919810000001,919711100012,2026-06-12,18:30:07,278,404-45-1201-30502,404-45-1201-30502,352421503001119,404450100030011,"Karol Bagh, New Delhi"
919810000001,Outgoing,919810000001,919830000003,2026-06-14,08:42:04,520,404-45-1201-30502,404-45-1201-30502,352421503001119,404450100030011,"Karol Bagh, New Delhi"
919810000001,Outgoing,919810000001,919711100011,2026-06-01,11:37:57,150,404-45-1201-30501,404-45-1201-30501,358479093009995,404450100030011,"Connaught Place, New Delhi"
919810000001,Outgoing,919810000001,919820000002,2026-06-04,23:26:10,94,404-45-1201-30502,404-45-1201-30502,352421503001119,404450100030011,"Karol Bagh, New Delhi"
919810000001,Outgoing,919810000001,919800011122,2026-06-04,14:40:40,599,404-45-1201-30502,404-45-1201-30502,352421503001119,404450100030011,"Karol Bagh, New Delhi"
919810000001,Incoming,919800011122,919810000001,2026-06-12,16:15:50,484,404-45-1201-30502,404-45-1201-30502,352421503001119,404450100030011,"Karol Bagh, New Delhi"
919810000001,Outgoing,919810000001,919711100013,2026-06-03,10:23:37,69,404-45-1201-30501,404-45-1201-30501,352421503001119,404450100030011,"Connaught Place, New Delhi"
919810000001,Incoming,919800011122,919810000001,2026-06-02,13:04:13,430,404-45-1201-30501,404-45-1201-30501,352421503001119,404450100030011,"Connaught Place, New Delhi"
919810000001,SMS-MT,919711100013,919810000001,2026-06-12,14:34:34,0,404-45-1201-30502,404-45-1201-30502,352421503001119,404450100030011,"Karol Bagh, New Delhi"
919810000001,Incoming,919800011122,919810000001,2026-06-21,09:44:54,325,404-45-1201-30501,404-45-1201-30501,352421503001119,404450100030011,"Connaught Place, New Delhi"
919810000001,Incoming,919800011122,919810000001,2026-06-16,18:09:35,630,404-45-1201-30501,404-45-1201-30501,358479093009995,404450100030011,"Connaught Place, New Delhi"
919810000001,SMS-MO,919810000001,919711100011,2026-06-06,15:18:00,0,404-45-1201-30502,404-45-1201-30502,352421503001119,404450100030011,"Karol Bagh, New Delhi"
919810000001,Incoming,919820000002,919810000001,2026-06-17,18:09:44,230,404-45-1201-30501,404-45-1201-30501,352421503001119,404450100030011,"Connaught Place, New Delhi"
919810000001,SMS-MT,919711100011,919810000001,2026-06-12,09:53:42,0,404-45-1210-30777,404-45-1210-30777,358479093009995,404450100030011,"Nehru Place, New Delhi"
919810000001,SMS-MO,919810000001,919711100013,2026-06-24,18:23:05,0,404-45-1210-30777,404-45-1210-30777,358479093009995,404450100030011,"Nehru Place, New Delhi"
919810000001,Incoming,919830000003,919810000001,2026-06-18,19:25:25,716,404-45-1201-30501,404-45-1201-30501,352421503001119,404450100030011,"Connaught Place, New Delhi"
919810000001,Outgoing,919810000001,919800011122,2026-06-12,12:39:07,492,404-45-1201-30502,404-45-1201-30502,352421503001119,404450100030011,"Karol Bagh, New Delhi"
919810000001,Outgoing,919810000001,919830000003,2026-06-20,22:37:51,378,404-45-1201-30502,404-45-1201-30502,352421503001119,404450100030011,"Karol Bagh, New Delhi"
919810000001,Outgoing,919810000001,919800011122,2026-06-02,10:00:36,635,404-45-1201-30501,404-45-1201-30501,352421503001119,404450100030011,"Connaught Place, New Delhi"
919810000001,Incoming,919711100011,919810000001,2026-06-16,12:27:50,224,404-45-1210-30777,404-45-1210-30777,358479093009995,404450100030011,"Nehru Place, New Delhi"
919810000001,Outgoing,919810000001,919830000003,2026-06-18,10:36:19,167,404-45-1201-30501,404-45-1201-30501,352421503001119,404450100030011,"Connaught Place, New Delhi"
919810000001,SMS-MT,919711100011,919810000001,2026-06-15,22:30:19,0,404-45-1201-30502,404-45-1201-30502,352421503001119,404450100030011,"Karol Bagh, New Delhi"
919810000001,Outgoing,919810000001,919711100012,2026-06-11,13:30:39,221,404-45-1201-30501,404-45-1201-30501,358479093009995,404450100030011,"Connaught Place, New Delhi"
919810000001,SMS-MO,919810000001,919830000003,2026-06-09,20:22:43,0,404-45-1201-30502,404-45-1201-30502,352421503001119,404450100030011,"Karol Bagh, New Delhi"
