Subject,Call Type,Calling Number,Called Number,Call Date,Call Time,Duration,First Cell ID,Last Cell ID,IMEI,IMSI,Roaming Center
919820000002,Outgoing,919820000002,919800011122,2026-06-12,17:05:46,220,404-45-1204-30877,404-45-1204-30877,353260053002229,405840200030022,"Saket, New Delhi"
919820000002,Outgoing,919820000002,919722200021,2026-06-09,11:52:27,205,404-45-1204-30877,404-45-1204-30877,353260053002229,405840200030022,"Saket, New Delhi"
919820000002,SMS-MO,919820000002,919722200023,2026-06-07,21:08:26,0,404-45-1210-30777,404-45-1210-30777,353260053002229,405840200030022,"Nehru Place, New Delhi"
919820000002,Incoming,919722200022,919820000002,2026-06-25,13:18:28,563,404-45-1204-30877,404-45-1204-30877,353260053002229,405840200030022,"Saket, New Delhi"
919820000002,Incoming,919722200021,919820000002,2026-06-13,21:35:03,127,404-45-1210-30777,404-45-1210-30777,358479093009995,405840200030022,"Nehru Place, New Delhi"
919820000002,SMS-MO,919820000002,919810000001,2026-06-22,16:38:15,0,404-45-1204-30877,404-45-1204-30877,353260053002229,405840200030022,"Saket, New Delhi"
919820000002,Outgoing,919820000002,919830000003,2026-06-03,15:55:07,247,404-45-1204-30877,404-45-1204-30877,353260053002229,405840200030022,"Saket, New Delhi"
919820000002,Outgoing,919820000002,919722200023,2026-06-15,07:24:21,489,404-45-1305-30733,404-45-1305-30733,353260053002229,405840200030022,"Cyber City, Gurgaon"
919820000002,Outgoing,919820000002,919810000001,2026-06-06,15:28:00,209,404-45-1204-30877,404-45-1204-30877,353260053002229,405840200030022,"Saket, New Delhi"
919820000002,Incoming,919722200021,919820000002,2026-06-17,22:15:59,214,404-45-1210-30777,404-45-1210-30777,353260053002229,405840200030022,"Nehru Place, New Delhi"
919820000002,Incoming,919800011122,919820000002,2026-06-14,22:34:53,685,404-45-1305-30733,404-45-1305-30733,353260053002229,405840200030022,"Cyber City, Gurgaon"
919820000002,Incoming,919810000001,919820000002,2026-06-12,08:53:08,434,404-45-1210-30777,404-45-1210-30777,353260053002229,405840200030022,"Nehru Place, New Delhi"
919820000002,SMS-MO,919820000002,919722200022,2026-06-19,14:05:01,0,404-45-1210-30777,404-45-1210-30777,358479093009995,405840200030022,"Nehru Place, New Delhi"
919820000002,Incoming,919722200021,919820000002,2026-06-09,09:54:16,505,404-45-1210-30777,404-45-1210-30777,358479093009995,405840200030022,"Nehru Place, New Delhi"
919820000002,Outgoing,919820000002,919722200022,2026-06-25,11:45:41,145,404-45-1210-30777,404-45-1210-30777,353260053002229,405840200030022,"Nehru Place, New Delhi"
919820000002,SMS-MO,919820000002,919830000003,2026-06-09,19:09:34,0,404-45-1210-30777,404-45-1210-30777,353260053002229,405840200030022,"Nehru Place, New Delhi"
919820000002,SMS-MT,919722200023,919820000002,2026-06-18,17:15:02,0,404-45-1204-30877,404-45-1204-30877,353260053002229,405840200030022,"Saket, New Delhi"
919820000002,Outgoing,919820000002,919722200021,2026-06-13,07:19:19,62,404-45-1210-30777,404-45-1210-30777,358479093009995,405840200030022,"Nehru Place, New Delhi"
919820000002,Incoming,919800011122,919820000002,2026-06-05,16:46:39,526,404-45-1305-30733,404-45-1305-30733,358479093009995,405840200030022,"Cyber City, Gurgaon"
919820000002,Outgoing,919820000002,919800011122,2026-06-08,17:12:53,240,404-45-1210-30777,404-45-1210-30777,353260053002229,405840200030022,"Nehru Place, New Delhi"
919820000002,Incoming,919722200021,919820000002,2026-06-22,14:27:04,94,404-45-1204-30877,404-45-1204-30877,353260053002229,405840200030022,"Saket, New Delhi"
919820000002,Outgoing,919820000002,919800011122,2026-06-15,23:34:51,303,404-45-1210-30777,404-45-1210-30777,353260053002229,405840200030022,"Nehru Place, New Delhi"
919820000002,Incoming,919722200022,919820000002,2026-06-25,11:42:57,561,404-45-1210-30777,404-45-1210-30777,358479093009995,405840200030022,"Nehru Place, New Delhi"
919820000002,Outgoing,919820000002,919810000001,2026-06-15,14:47:06,160,404-45-1204-30877,404-45-1204-30877,353260053002229,405840200030022,"Saket, New Delhi"
919820000002,Incoming,919722200021,919820000002,2026-06-14,12:03:05,281,404-45-1305-30733,404-45-1305-30733,353260053002229,405840200030022,"Cyber City, Gurgaon"
919820000002,Outgoing,919820000002,919722200021,2026-06-25,10:32:28,63,404-45-1305-30733,404-45-1305-30733,353260053002229,405840200030022,"Cyber City, Gurgaon"
919820000002,Incoming,919800011122,919820000002,2026-06-03,15:03:51,354,404-45-1210-30777,404-45-1210-30777,353260053002229,405840200030022,"Nehru Place, New Delhi"
919820000002,Incoming,919722200023,919820000002,2026-06-16,10:56:35,588,404-45-1210-30777,404-45-1210-30777,353260053002229,405840200030022,"Nehru Place, New Delhi"
919820000002,SMS-MO,919820000002,919722200022,2026-06-23,23:40:27,0,404-45-1210-30777,404-45-1210-30777,358479093009995,405840200030022,"Nehru Place, New Delhi"
919820000002,Incoming,919722200021,919820000002,2026-06-15,09:47:59,23,404-45-1210-30777,404-45-1210-30777,358479093009995,405840200030022,"Nehru Place, New Delhi"
919820000002,Incoming,919722200023,919820000002,2026-06-17,07:05:16,274,404-45-1210-30777,404-45-1210-30777,353260053002229,405840200030022,"Nehru Place, New Delhi"
919820000002,Incoming,919722200021,919820000002,2026-06-06,15:03:11,132,404-45-1210-30777,404-45-1210-30777,353260053002229,405840200030022,"Nehru Place, New Delhi"
919820000002,Incoming,919810000001,919820000002,2026-06-09,07:40:05,94,404-45-1305-30733,404-45-1305-30733,353260053002229,405840200030022,"Cyber City, Gurgaon"
919820000002,Outgoing,919820000002,919800011122,2026-06-01,15:02:00,375,404-45-1210-30777,404-45-1210-30777,353260053002229,405840200030022,"Nehru Place, New Delhi"
919820000002,Outgoing,919820000002,919800011122,2026-06-08,12:45:27,703,404-45-1204-30877,404-45-1204-30877,353260053002229,405840200030022,"Saket, New Delhi"
919820000002,Outgoing,919820000002,919722200022,2026-06-15,22:54:24,685,404-45-1210-30777,404-45-1210-30777,358479093009995,405840200030022,"Nehru Place, New Delhi"
919820000002,Outgoing,919820000002,919800011122,2026-06-04,14:56:06,85,404-45-1210-30777,404-45-1210-30777,353260053002229,405840200030022,"Nehru Place, New Delhi"
919820000002,Incoming,919800011122,919820000002,2026-06-15,17:39:32,84,404-45-1305-30733,404-45-1305-30733,353260053002229,405840200030022,"Cyber City, Gurgaon"
919820000002,Outgoing,919820000002,919800011122,2026-06-14,15:39:08,586,404-45-1305-30733,404-45-1305-30733,353260053002229,405840200030022,"Cyber City, Gurgaon"
919820000002,Outgoing,919820000002,919722200023,2026-06-11,19:05:30,21,404-45-1305-30733,404-45-1305-30733,353260053002229,405840200030022,"Cyber City, Gurgaon"
919820000002,SMS-MT,919800011122,919820000002,2026-06-23,23:56:56,0,404-45-1210-30777,404-45-1210-30777,353260053002229,405840200030022,"Nehru Place, New Delhi"
