Subject,Call Type,Calling Number,Called Number,Call Date,Call Time,Duration,First Cell ID,Last Cell ID,IMEI,IMSI,Roaming Center
919830000003,Outgoing,919830000003,919820000002,2026-06-23,07:57:47,220,404-45-1202-30640,404-45-1202-30640,868001023003337,404010300030033,"Rohini, New Delhi"
919830000003,Incoming,919733300033,919830000003,2026-06-21,20:44:48,560,405-840-2210-30915,405-840-2210-30915,868001023003337,404010300030033,"Sector 18, Noida"
919830000003,Outgoing,919830000003,919733300033,2026-06-12,15:51:36,264,404-45-1210-30777,404-45-1210-30777,868001023003337,404010300030033,"Nehru Place, New Delhi"
919830000003,Incoming,919733300031,919830000003,2026-06-10,13:14:29,225,404-45-1202-30640,404-45-1202-30640,013267003004447,404450100039999,"Rohini, New Delhi"
919830000003,Incoming,919733300032,919830000003,2026-06-07,09:17:57,664,404-45-1210-30777,404-45-1210-30777,868001023003337,404010300030033,"Nehru Place, New Delhi"
919830000003,Incoming,919733300032,919830000003,2026-06-04,22:39:11,322,405-840-2210-30915,405-840-2210-30915,013267003004447,404450100039999,"Sector 18, Noida"
919830000003,Incoming,919733300033,919830000003,2026-06-04,12:41:10,423,404-45-1202-30640,404-45-1202-30640,868001023003337,404010300030033,"Rohini, New Delhi"
919830000003,Outgoing,919830000003,919733300033,2026-06-07,07:51:18,425,405-840-2210-30915,405-840-2210-30915,013267003004447,404450100039999,"Sector 18, Noida"
919830000003,Outgoing,919830000003,919733300033,2026-06-22,20:05:16,530,404-45-1202-30640,404-45-1202-30640,013267003004447,404450100039999,"Rohini, New Delhi"
919830000003,SMS-MT,919733300032,919830000003,2026-06-08,22:02:44,0,405-840-2210-30915,405-840-2210-30915,013267003004447,404450100039999,"Sector 18, Noida"
919830000003,Outgoing,919830000003,919733300033,2026-06-13,09:23:59,422,404-45-1202-30640,404-45-1202-30640,868001023003337,404010300030033,"Rohini, New Delhi"
919830000003,SMS-MT,919810000001,919830000003,2026-06-09,19:41:15,0,404-45-1210-30777,404-45-1210-30777,868001023003337,404010300030033,"Nehru Place, New Delhi"
919830000003,Incoming,919733300032,919830000003,2026-06-08,07:26:45,580,405-840-2210-30915,405-840-2210-30915,013267003004447,404450100039999,"Sector 18, Noida"
919830000003,Outgoing,919830000003,919800011122,2026-06-16,07:40:26,775,404-45-1210-30777,404-45-1210-30777,358479093009995,404450100039999,"Nehru Place, New Delhi"
919830000003,Incoming,919733300031,919830000003,2026-06-19,08:41:45,258,405-840-2210-30915,405-840-2210-30915,868001023003337,404010300030033,"Sector 18, Noida"
919830000003,SMS-MO,919830000003,919800011122,2026-06-09,10:03:53,0,404-45-1202-30640,404-45-1202-30640,868001023003337,404010300030033,"Rohini, New Delhi"
919830000003,Incoming,919733300032,919830000003,2026-06-13,20:47:33,442,405-840-2210-30915,405-840-2210-30915,868001023003337,404010300030033,"Sector 18, Noida"
919830000003,Outgoing,919830000003,919733300031,2026-06-11,10:05:59,749,404-45-1202-30640,404-45-1202-30640,013267003004447,404450100039999,"Rohini, New Delhi"
919830000003,Outgoing,919830000003,919733300033,2026-06-03,09:09:47,235,404-45-1202-30640,404-45-1202-30640,868001023003337,404010300030033,"Rohini, New Delhi"
919830000003,Incoming,919733300033,919830000003,2026-06-01,19:58:56,458,405-840-2210-30915,405-840-2210-30915,868001023003337,404010300030033,"Sector 18, Noida"
919830000003,Outgoing,919830000003,919733300031,2026-06-04,13:24:22,450,404-45-1210-30777,404-45-1210-30777,358479093009995,404450100039999,"Nehru Place, New Delhi"
919830000003,Outgoing,919830000003,919733300031,2026-06-19,13:24:16,557,405-840-2210-30915,405-840-2210-30915,868001023003337,404010300030033,"Sector 18, Noida"
919830000003,Outgoing,919830000003,919733300032,2026-06-17,21:02:19,688,405-840-2210-30915,405-840-2210-30915,013267003004447,404450100039999,"Sector 18, Noida"
919830000003,Outgoing,919830000003,919820000002,2026-06-23,22:37:31,455,405-840-2210-30915,405-840-2210-30915,868001023003337,404010300030033,"Sector 18, Noida"
919830000003,Outgoing,919830000003,919733300031,2026-06-15,21:15:50,560,405-840-2210-30915,405-840-2210-30915,868001023003337,404010300030033,"Sector 18, Noida"
919830000003,Outgoing,919830000003,919733300031,2026-06-05,20:03:45,630,404-45-1202-30640,404-45-1202-30640,013267003004447,404450100039999,"Rohini, New Delhi"
919830000003,SMS-MT,919800011122,919830000003,2026-06-05,23:17:56,0,404-45-1202-30640,404-45-1202-30640,868001023003337,404010300030033,"Rohini, New Delhi"
919830000003,Outgoing,919830000003,919733300032,2026-06-16,15:36:23,83,404-45-1202-30640,404-45-1202-30640,868001023003337,404010300030033,"Rohini, New Delhi"
919830000003,Outgoing,919830000003,919800011122,2026-06-02,20:28:39,102,404-45-1210-30777,404-45-1210-30777,868001023003337,404010300030033,"Nehru Place, New Delhi"
919830000003,Incoming,919810000001,919830000003,2026-06-08,15:27:32,172,404-45-1202-30640,404-45-1202-30640,868001023003337,404010300030033,"Rohini, New Delhi"
