Subject,Call Type,Calling Number,Called Number,Call Date,Call Time,Duration,First Cell ID,Last Cell ID,IMEI,IMSI,Roaming Center
919812345678,Incoming,919800011122,919812345678,2026-06-10,19:42:41,750,404-45-1204-10877,404-45-1204-10877,352421501047718,404450100004477,"Saket, New Delhi"
919845678901,Outgoing,919845678901,918800112233,2026-06-16,14:12:52,59,404-45-1201-10501,404-45-1201-10501,352421501047718,405840200003391,"Connaught Place, New Delhi"
919845678901,SMS-MT,919944556677,919845678901,2026-06-04,15:11:37,0,404-45-1305-20733,404-45-1305-20733,352421501047718,405840200003391,"Cyber City, Gurgaon"
919845678901,Outgoing,919845678901,919922334455,2026-06-09,18:41:32,91,404-45-1305-20733,404-45-1305-20733,352421501047718,405840200003391,"Cyber City, Gurgaon"
919823456789,Incoming,919911223344,919823456789,2026-06-13,13:04:37,404,404-45-1207-11290,404-45-1207-11290,353260052200154,404450100008812,"Dwarka, New Delhi"
919823456789,Incoming,919944556677,919823456789,2026-06-06,09:18:32,835,404-45-1207-11290,404-45-1207-11290,353260052200154,404450100008812,"Dwarka, New Delhi"
919845678901,SMS-MT,919944556677,919845678901,2026-06-07,17:15:16,0,404-45-1305-20733,404-45-1305-20733,352421501047718,405840200003391,"Cyber City, Gurgaon"
919834567890,Outgoing,919834567890,918800112233,2026-06-04,12:21:26,706,405-840-2210-40915,405-840-2210-40915,868001025562108,405840200007725,"Sector 18, Noida"
919812345678,SMS-MO,919812345678,919955667788,2026-06-04,19:17:29,0,404-45-1201-10501,404-45-1201-10501,352421501047718,404450100004477,"Connaught Place, New Delhi"
919834567890,Outgoing,919834567890,919800011122,2026-06-20,14:45:10,665,404-45-1202-10640,404-45-1202-10640,868001025562108,405840200007725,"Rohini, New Delhi"
919823456789,Incoming,918800112233,919823456789,2026-06-03,16:14:25,37,405-840-2210-40915,405-840-2210-40915,358479097784304,404450100004477,"Sector 18, Noida"
919834567890,Outgoing,919834567890,919911223344,2026-06-10,21:56:44,154,404-45-1202-10640,404-45-1202-10640,868001025562108,405840200007725,"Rohini, New Delhi"
919823456789,Incoming,919911223344,919823456789,2026-06-01,09:41:27,698,404-45-1207-11290,404-45-1207-11290,353260052200154,404450100008812,"Dwarka, New Delhi"
919823456789,SMS-MT,919933445566,919823456789,2026-06-18,17:22:44,0,405-840-2210-40915,405-840-2210-40915,358479097784304,404450100004477,"Sector 18, Noida"
919966778899,SMS-MT,919933445566,919966778899,2026-06-08,19:14:54,0,404-45-1204-10877,404-45-1204-10877,013267009001421,404010300006654,"Saket, New Delhi"
919966778899,Incoming,918800112233,919966778899,2026-06-05,23:37:21,57,404-45-1204-10877,404-45-1204-10877,013267009001421,404010300006654,"Saket, New Delhi"
919823456789,SMS-MO,919823456789,919933445566,2026-06-16,10:27:23,0,404-45-1207-11290,404-45-1207-11290,358479097784304,404450100004477,"Dwarka, New Delhi"
919812345678,Outgoing,919812345678,919800011122,2026-06-09,07:48:51,623,404-45-1201-10502,404-45-1201-10502,352421501047718,404450100004477,"Karol Bagh, New Delhi"
919812345678,SMS-MO,919812345678,919944556677,2026-06-11,13:41:31,0,404-45-1204-10877,404-45-1204-10877,352421501047718,404450100004477,"Saket, New Delhi"
919845678901,Incoming,919800011122,919845678901,2026-06-14,11:02:19,171,404-45-1305-20733,404-45-1305-20733,352421501047718,405840200003391,"Cyber City, Gurgaon"
919812345678,Outgoing,919812345678,919834567890,2026-06-14,18:27:26,119,404-45-1201-10502,404-45-1201-10502,352421501047718,404450100004477,"Karol Bagh, New Delhi"
919812345678,Outgoing,919812345678,918800112233,2026-06-18,21:08:27,214,404-45-1201-10501,404-45-1201-10501,352421501047718,404450100004477,"Connaught Place, New Delhi"
919834567890,Outgoing,919834567890,919800011122,2026-06-14,17:38:16,60,405-840-2210-40915,405-840-2210-40915,868001025562108,405840200007725,"Sector 18, Noida"
919812345678,SMS-MT,919834567890,919812345678,2026-06-09,23:48:11,0,404-45-1201-10501,404-45-1201-10501,352421501047718,404450100004477,"Connaught Place, New Delhi"
919812345678,Incoming,919800011122,919812345678,2026-06-07,16:13:03,178,404-45-1204-10877,404-45-1204-10877,352421501047718,404450100004477,"Saket, New Delhi"
919834567890,SMS-MT,919933445566,919834567890,2026-06-10,23:45:17,0,405-840-2210-40915,405-840-2210-40915,868001025562108,405840200007725,"Sector 18, Noida"
919812345678,Outgoing,919812345678,919800011122,2026-06-06,14:10:29,670,404-45-1204-10877,404-45-1204-10877,352421501047718,404450100004477,"Saket, New Delhi"
